id,name,parent,home_id,created_at
1,Alimentation,,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:27:38.421519+00
2,Produit laitier,1,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:28:01.926814+00
3,Viandes,1,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:28:20.820595+00
5,Légumes,1,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:28:52.219303+00
6,Vômaina,1,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:29:23.60258+00
7,Assaisonnements,1,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:36:14.843935+00
8,Soin et santé,,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:53:17.977599+00
9,Médicaments,8,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:53:41.903397+00
10,Soin,8,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:55:03.184308+00
11,Maintenance et Réparation,,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:01:53.151969+00
12,Abonnements,,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:07:10.396904+00
13,Transports,,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:09:12.887072+00
14,Boissons,,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:13:32.459058+00
15,Bierres,14,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:14:40.87123+00
16,Jus STAR,14,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:15:23.290198+00
