id,name,unit,category_id,home_id,created_at
1,Lait,L,2,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:37:53.581575+00
2,Yaourt,Boîte,2,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:38:42.296094+00
3,Fromage,,2,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:39:11.905846+00
4,Beurre,,2,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:39:37.415253+00
5,Hen'omby,Kg,3,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:40:40.568706+00
6,Poulet,Kg,3,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:41:12.374437+00
7,Poissons,,3,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:42:20.900727+00
8,Tomates,,7,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:43:17.968325+00
9,Oignons,,7,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:43:47.994811+00
10,Carottes,Kg,5,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:45:05.913209+00
11,Salades,,5,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:46:20.129708+00
12,Tsaramaso,Kp,6,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:47:00.493696+00
13,Voanjobory,Kp,6,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:47:38.625861+00
14,Kabaro,Kp,6,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:48:10.062891+00
15,Tsiasisa,Kp,6,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:49:10.057755+00
16,Ovy,Kg,5,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:50:45.860496+00
17,Voatavo,,5,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:51:25.944535+00
18,Sira,,7,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:51:48.736283+00
19,Huile,L,7,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:52:52.235584+00
20,Massage,,10,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:56:57.546679+00
21,Baume,,10,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:57:27.026325+00
22,Consultation,,8,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 07:58:57.286879+00
23,Paracétamol,Boîte,9,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:00:08.848307+00
24,Vitamine C,,9,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:01:01.058528+00
25,Ordinateur,,11,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:03:19.817692+00
26,Electroménagère,,11,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:04:11.23883+00
27,Maison,,11,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:04:48.227243+00
29,Canal +,,12,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:07:46.874358+00
30,Wifiber,,12,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:08:12.498499+00
31,Loyer,,12,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:08:48.598165+00
32,Frais bus,,13,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:10:01.415186+00
33,Taxi-brousse,,13,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:10:56.073952+00
34,Taxi ville,,13,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:11:20.677105+00
35,THB,,15,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:16:25.185998+00
36,Coca,,16,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:16:46.005102+00
37,Orange,,16,b05d9a92-a934-491d-9e07-c26d2b5d1e11,2026-01-07 08:18:13.860807+00
